pid,condition,class,type,accuracy
23,NUCS,2,negative,0.0
23,NUCS,3,negative,0.3333333333333333
23,NUCS,4,negative,0.0
23,NUCS,5,negative,0.0
23,NUCS,6,negative,0.3333333333333333
23,NUCS,7,negative,0.0
30,NUCS,0,positive,0.6666666666666666
30,NUCS,1,positive,0.6666666666666666
30,NUCS,2,positive,1.0
30,NUCS,3,positive,0.6666666666666666
30,NUCS,4,positive,1.0
30,NUCS,5,positive,0.6666666666666666
30,NUCS,6,positive,0.6666666666666666
30,NUCS,7,positive,1.0
30,NUCS,0,negative,0.6666666666666666
30,NUCS,1,negative,1.0
30,NUCS,2,negative,0.6666666666666666
30,NUCS,3,negative,0.0
30,NUCS,4,negative,0.6666666666666666
30,NUCS,5,negative,0.3333333333333333
30,NUCS,6,negative,0.0
30,NUCS,7,negative,0.3333333333333333
37,NUCS,0,positive,1.0
37,NUCS,1,positive,0.3333333333333333
37,NUCS,2,positive,0.6666666666666666
37,NUCS,3,positive,1.0
37,NUCS,4,positive,0.6666666666666666
37,NUCS,5,positive,1.0
37,NUCS,6,positive,1.0
37,NUCS,7,positive,0.0
37,NUCS,0,negative,1.0
37,NUCS,1,negative,1.0
37,NUCS,2,negative,0.0
37,NUCS,3,negative,0.6666666666666666
37,NUCS,4,negative,0.0
37,NUCS,5,negative,0.3333333333333333
37,NUCS,6,negative,0.0
37,NUCS,7,negative,0.0
63,NUCS,0,positive,0.0
63,NUCS,1,positive,0.6666666666666666
63,NUCS,2,positive,0.0
63,NUCS,3,positive,0.0
63,NUCS,4,positive,0.0
63,NUCS,5,positive,0.0
63,NUCS,6,positive,0.6666666666666666
63,NUCS,7,positive,0.0
63,NUCS,0,negative,0.0
63,NUCS,1,negative,0.0
63,NUCS,2,negative,0.0
63,NUCS,3,negative,0.0
63,NUCS,4,negative,0.0
63,NUCS,5,negative,0.0
63,NUCS,6,negative,0.3333333333333333
63,NUCS,7,negative,0.0
36,NUCS,0,positive,1.0
36,NUCS,1,positive,1.0
36,NUCS,2,positive,0.6666666666666666
36,NUCS,3,positive,0.0
36,NUCS,4,positive,0.6666666666666666
36,NUCS,5,positive,0.0
36,NUCS,6,positive,0.6666666666666666
36,NUCS,7,positive,0.3333333333333333
36,NUCS,0,negative,0.3333333333333333
36,NUCS,1,negative,1.0
36,NUCS,2,negative,0.6666666666666666
36,NUCS,3,negative,0.0
36,NUCS,4,negative,0.3333333333333333
36,NUCS,5,negative,0.0
36,NUCS,6,negative,0.6666666666666666
36,NUCS,7,negative,0.0
31,NUCS,0,positive,1.0
31,NUCS,1,positive,1.0
31,NUCS,2,positive,1.0
31,NUCS,3,positive,0.3333333333333333
31,NUCS,4,positive,0.0
31,NUCS,5,positive,0.0
31,NUCS,6,positive,0.6666666666666666
31,NUCS,7,positive,1.0
31,NUCS,0,negative,0.0
31,NUCS,1,negative,0.3333333333333333
31,NUCS,2,negative,0.0
31,NUCS,3,negative,0.0
31,NUCS,4,negative,0.0
31,NUCS,5,negative,0.3333333333333333
31,NUCS,6,negative,0.6666666666666666
31,NUCS,7,negative,0.3333333333333333
62,NUCS,0,positive,0.0
62,NUCS,1,positive,0.6666666666666666
62,NUCS,2,positive,1.0
62,NUCS,3,positive,1.0
62,NUCS,4,positive,0.3333333333333333
62,NUCS,5,positive,0.6666666666666666
62,NUCS,6,positive,1.0
62,NUCS,7,positive,0.6666666666666666
62,NUCS,0,negative,0.3333333333333333
62,NUCS,1,negative,0.0
62,NUCS,2,negative,0.6666666666666666
62,NUCS,3,negative,0.3333333333333333
62,NUCS,4,negative,0.3333333333333333
62,NUCS,5,negative,0.0
62,NUCS,6,negative,0.0
62,NUCS,7,negative,0.6666666666666666
